Route,Departure,Arrival,Carrier,Code
PTY-CLO,PTY,CLO,KL,C
PTY-CLO,PTY,CLO,UA,C
PTY-CNF,PTY,CNF,AD,C
PTY-CNF,PTY,CNF,CM,
PTY-CNF,PTY,CNF,G3,C
PTY-COR,PTY,COR,CM,
PTY-CTG,PTY,CTG,CM,
PTY-CTG,PTY,CTG,KL,C
PTY-CTG,PTY,CTG,TK,C
PTY-CTG,PTY,CTG,UA,C
PTY-CUC,PTY,CUC,CM,
PTY-CUN,PTY,CUN,CM,
PTY-CUR,PTY,CUR,CM,
PTY-CUR,PTY,CUR,UA,C
PTY-DAV,PTY,DAV,CM,
PTY-DAV,PTY,DAV,TK,C
PTY-DAV,PTY,DAV,UA,C
PTY-DEN,PTY,DEN,CM,
PTY-DEN,PTY,DEN,UA,C
PTY-EWR,PTY,EWR,CM,C
PTY-EWR,PTY,EWR,UA,
PTY-EZE,PTY,EZE,CM,
PTY-EZE,PTY,EZE,TK,C
PTY-FLL,PTY,FLL,CM,
PTY-FLL,PTY,FLL,UA,C
PTY-GCM,PTY,GCM,KX,
PTY-GDL,PTY,GDL,CM,
PTY-GEO,PTY,GEO,AF,C
PTY-GEO,PTY,GEO,CM,
PTY-GEO,PTY,GEO,KL,C
PTY-GEO,PTY,GEO,TK,C
PTY-GEO,PTY,GEO,UA,C
PTY-GIG,PTY,GIG,AD,C
PTY-GIG,PTY,GIG,CM,
PTY-GIG,PTY,GIG,EK,C
PTY-GIG,PTY,GIG,G3,C
PTY-GRU,PTY,GRU,AD,C
PTY-GRU,PTY,GRU,CM,
PTY-GRU,PTY,GRU,EK,C
PTY-GRU,PTY,GRU,G3,C
PTY-GRU,PTY,GRU,TK,C
PTY-GUA,PTY,GUA,AF,C
PTY-GUA,PTY,GUA,CM,
PTY-GUA,PTY,GUA,IB,C
PTY-GUA,PTY,GUA,KL,C
PTY-GUA,PTY,GUA,TK,C
PTY-GUA,PTY,GUA,UX,C
PTY-GYE,PTY,GYE,AF,C
PTY-GYE,PTY,GYE,CM,
PTY-GYE,PTY,GYE,KL,C
PTY-GYE,PTY,GYE,TK,C
PTY-GYE,PTY,GYE,UA,C
PTY-HAV,PTY,HAV,CM,
PTY-IAD,PTY,IAD,CM,
PTY-IAD,PTY,IAD,UA,C
PTY-IAH,PTY,IAH,CM,C
PTY-IAH,PTY,IAH,UA,
PTY-IST,PTY,IST,CM,C
PTY-IST,PTY,IST,TK,
PTY-JFK,PTY,JFK,CM,
PTY-JFK,PTY,JFK,OZ,C
PTY-JFK,PTY,JFK,UA,C
PTY-KIN,PTY,KIN,CM,
PTY-KIN,PTY,KIN,KL,C
PTY-KIN,PTY,KIN,UA,C
PTY-LAS,PTY,LAS,CM,
PTY-LAS,PTY,LAS,UA,C
PTY-LAX,PTY,LAX,BR,C
PTY-LAX,PTY,LAX,CM,
PTY-LAX,PTY,LAX,OZ,C
PTY-LAX,PTY,LAX,UA,C
PTY-LIM,PTY,LIM,AF,C
PTY-LIM,PTY,LIM,CM,
PTY-LIM,PTY,LIM,KL,C
PTY-LIM,PTY,LIM,TK,C
PTY-MAD,PTY,MAD,BA,C
PTY-MAD,PTY,MAD,CM,C
PTY-MAD,PTY,MAD,IB,
PTY-MAD,PTY,MAD,LY,C
PTY-MAD,PTY,MAD,QR,C
PTY-MAD,PTY,MAD,UX,
PTY-MAO,PTY,MAO,AD,C
PTY-MAO,PTY,MAO,CM,
PTY-MAO,PTY,MAO,G3,C
